CLIENTE 9 | Prodotti acquistati:63 | Tempo nel negozio:0.209 s | Tempo in coda:0.000 s | Code cambiate:1 |
CLIENTE 15 | Prodotti acquistati:5 | Tempo nel negozio:0.364 s | Tempo in coda:0.155 s | Code cambiate:1 |
CLIENTE 44 | Prodotti acquistati:8 | Tempo nel negozio:0.444 s | Tempo in coda:0.190 s | Code cambiate:1 |
CLIENTE 5 | Prodotti acquistati:35 | Tempo nel negozio:0.979 s | Tempo in coda:0.739 s | Code cambiate:1 |
CLIENTE 4 | Prodotti acquistati:28 | Tempo nel negozio:1.036 s | Tempo in coda:0.765 s | Code cambiate:1 |
CLIENTE 6 | Prodotti acquistati:42 | Tempo nel negozio:1.090 s | Tempo in coda:0.886 s | Code cambiate:1 |
CLIENTE 16 | Prodotti acquistati:12 | Tempo nel negozio:1.308 s | Tempo in coda:1.034 s | Code cambiate:1 |
CLIENTE 22 | Prodotti acquistati:54 | Tempo nel negozio:1.308 s | Tempo in coda:1.034 s | Code cambiate:1 |
CLIENTE 17 | Prodotti acquistati:19 | Tempo nel negozio:1.395 s | Tempo in coda:1.155 s | Code cambiate:1 |
CLIENTE 26 | Prodotti acquistati:82 | Tempo nel negozio:1.395 s | Tempo in coda:1.147 s | Code cambiate:1 |
CLIENTE 18 | Prodotti acquistati:26 | Tempo nel negozio:1.652 s | Tempo in coda:1.443 s | Code cambiate:1 |
CLIENTE 36 | Prodotti acquistati:52 | Tempo nel negozio:1.652 s | Tempo in coda:1.431 s | Code cambiate:1 |
CLIENTE 34 | Prodotti acquistati:38 | Tempo nel negozio:2.100 s | Tempo in coda:1.817 s | Code cambiate:1 |
CLIENTE 35 | Prodotti acquistati:45 | Tempo nel negozio:2.331 s | Tempo in coda:2.083 s | Code cambiate:1 |
CLIENTE 48 | Prodotti acquistati:36 | Tempo nel negozio:2.418 s | Tempo in coda:2.197 s | Code cambiate:1 |
CLIENTE 25 | Prodotti acquistati:75 | Tempo nel negozio:2.418 s | Tempo in coda:2.144 s | Code cambiate:1 |
CLIENTE 46 | Prodotti acquistati:22 | Tempo nel negozio:2.569 s | Tempo in coda:2.286 s | Code cambiate:1 |
CLIENTE 47 | Prodotti acquistati:29 | Tempo nel negozio:2.950 s | Tempo in coda:2.697 s | Code cambiate:1 |
CLIENTE 43 | Prodotti acquistati:1 | Tempo nel negozio:3.009 s | Tempo in coda:2.727 s | Code cambiate:1 |
CLIENTE 0 | Prodotti acquistati:30 | Tempo nel negozio:3.074 s | Tempo in coda:2.781 s | Code cambiate:1 |
CLIENTE 12 | Prodotti acquistati:84 | Tempo nel negozio:3.064 s | Tempo in coda:2.762 s | Code cambiate:1 |
CLIENTE 20 | Prodotti acquistati:40 | Tempo nel negozio:3.401 s | Tempo in coda:3.064 s | Code cambiate:1 |
CLIENTE 3 | Prodotti acquistati:21 | Tempo nel negozio:3.464 s | Tempo in coda:3.162 s | Code cambiate:1 |
CLIENTE 11 | Prodotti acquistati:77 | Tempo nel negozio:3.464 s | Tempo in coda:3.127 s | Code cambiate:1 |
CLIENTE 23 | Prodotti acquistati:61 | Tempo nel negozio:3.464 s | Tempo in coda:3.127 s | Code cambiate:1 |
CLIENTE 29 | Prodotti acquistati:3 | Tempo nel negozio:3.562 s | Tempo in coda:3.217 s | Code cambiate:1 |
CLIENTE 10 | Prodotti acquistati:70 | Tempo nel negozio:3.732 s | Tempo in coda:3.368 s | Code cambiate:1 |
CLIENTE 28 | Prodotti acquistati:96 | Tempo nel negozio:3.732 s | Tempo in coda:3.361 s | Code cambiate:1 |
CLIENTE 37 | Prodotti acquistati:59 | Tempo nel negozio:3.732 s | Tempo in coda:3.352 s | Code cambiate:1 |
CLIENTE 40 | Prodotti acquistati:80 | Tempo nel negozio:3.732 s | Tempo in coda:3.352 s | Code cambiate:1 |
CLIENTE 45 | Prodotti acquistati:15 | Tempo nel negozio:3.732 s | Tempo in coda:3.511 s | Code cambiate:2 |
CLIENTE 52 | Prodotti acquistati:64 | Tempo nel negozio:3.288 s | Tempo in coda:2.999 s | Code cambiate:1 |
CLIENTE 58 | Prodotti acquistati:6 | Tempo nel negozio:2.488 s | Tempo in coda:2.100 s | Code cambiate:1 |
CLIENTE 21 | Prodotti acquistati:47 | Tempo nel negozio:4.050 s | Tempo in coda:3.740 s | Code cambiate:1 |
CLIENTE 24 | Prodotti acquistati:68 | Tempo nel negozio:4.050 s | Tempo in coda:3.740 s | Code cambiate:1 |
CLIENTE 32 | Prodotti acquistati:24 | Tempo nel negozio:4.081 s | Tempo in coda:3.736 s | Code cambiate:1 |
CLIENTE 41 | Prodotti acquistati:87 | Tempo nel negozio:4.081 s | Tempo in coda:3.736 s | Code cambiate:1 |
